carrier;carrier_name;airport;airport_name;arr_flights;arr_del15; arr_delay;arr_cancelled;;;;Legtöbb járat szám;;;;;;;;;;;
9E;Endeavor Air Inc.;ABE;Allentown/Bethlehem/Easton; PA: Lehigh Valley International;34;0;2;;;;Reptér;Összes járat száma;Kód;Járat késések;Látogatás száma;törölt járatok száma;törölt járatok arány;Járat késések (perc);Járat késések (óra);;;
9E;Endeavor Air Inc.;AEX;Alexandria; LA: Alexandria International;98;0;44646;;;;SkyWest Airlines Inc.;3230;OO;3237;2827;403;12%;909735;15162;;;
9E;Endeavor Air Inc.;AGS;Augusta; GA: Augusta Regional at Bush Field;120;1;5;;;;Delta Air Lines Inc.;1878;DL;2202;1729;149;8%;1073663;17894;;;
9E;Endeavor Air Inc.;ALB;Albany; NY: Albany International;28;0;2;;;;Envoy Air;1876;MQ;992;1751;125;7%;351701;5862;;;
9E;Endeavor Air Inc.;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;2688;3;268;;;;Allegiant Air;1552;G4;268;1202;350;23%;115030;1917;;;
9E;Endeavor Air Inc.;ATW;Appleton; WI: Appleton International;52;3;3;;;;Mesa Airlines Inc.;1464;YV;661;1234;230;16%;244057;4068;;;
9E;Endeavor Air Inc.;BDL;Hartford; CT: Bradley International;93;0;5;;;;American Airlines Inc.;1376;AA;2450;1341;35;3%;1018437;16974;;;
9E;Endeavor Air Inc.;BGR;Bangor; ME: Bangor International;71;0;44637;;;;United Air Lines Inc.;1361;UA;1889;1276;85;6%;673640;11227;;;
9E;Endeavor Air Inc.;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;61;0;7;;;;Endeavor Air Inc.;1299;9E;572;1173;126;10%;281625;4694;;;
9E;Endeavor Air Inc.;BMI;Bloomington/Normal; IL: Central Il Regional Airport at Bloomington;78;0;44708;;;;Frontier Airlines Inc.;1274;F9;210;1130;144;11%;149912;2499;;;
9E;Endeavor Air Inc.;BNA;Nashville; TN: Nashville International;96;0;44845;;;;Republic Airline;1221;YX;905;1023;198;16%;360077;6001;;;
9E;Endeavor Air Inc.;BOS;Boston; MA: Logan International;428;0;36;;;;PSA Airlines Inc.;1191;OH;924;1158;33;3%;313346;5222;;;
9E;Endeavor Air Inc.;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;25;0;0;;;;Southwest Airlines Co.;1141;WN;2887;1139;2;0%;1463985;24400;;;
9E;Endeavor Air Inc.;BTV;Burlington; VT: Burlington International;197;0;16;;;;ExpressJet Airlines LLC;1042;EV;363;828;214;21%;119067;1984;;;
9E;Endeavor Air Inc.;BUF;Buffalo; NY: Buffalo Niagara International;364;2;25;;;;Alaska Airlines Inc.;939;AS;706;834;105;11%;284697;4745;;;
9E;Endeavor Air Inc.;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;219;0;12;;;;JetBlue Airways;844;B6;977;810;34;4%;321204;5353;;;
9E;Endeavor Air Inc.;CAE;Columbia; SC: Columbia Metropolitan;122;0;44844;;;;Spirit Air Lines;637;NK;401;605;32;5%;224464;3741;;;
9E;Endeavor Air Inc.;CAK;Akron; OH: Akron-Canton Regional;50;1;6;;;;Hawaiian Airlines Inc.;245;HA;64;185;60;24%;90637;1511;;;
9E;Endeavor Air Inc.;CHA;Chattanooga; TN: Lovell Field;100;0;5;;;;ExpressJet Airlines Inc.;209;EV;83;167;42;20%;24389;406;;;
9E;Endeavor Air Inc.;CHO;Charlottesville; VA: Charlottesville Albemarle;139;1;6;;;;Reptér;Összes járat száma;Kód;Járat késések;Látogatás száma;törölt járatok száma;törölt járatok arány;Járat késések (perc);Járat késések (óra);;;
9E;Endeavor Air Inc.;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;79;0;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;CLE;Cleveland; OH: Cleveland-Hopkins International;321;0;13;;;;Legkevesebb késés;;;;;;;;;;;
9E;Endeavor Air Inc.;CLT;Charlotte; NC: Charlotte Douglas International;183;2;11;;;;Helyezés;Reptér;Késés;;;;;;;;;
9E;Endeavor Air Inc.;CMH;Columbus; OH: John Glenn Columbus International;115;0;7;;;;1.;Hawaiian Airlines Inc.;64;;;;;;;;;
9E;Endeavor Air Inc.;CSG;Columbus; GA: Columbus Airport;78;0;1;;;;2.;ExpressJet Airlines Inc.;83;;;;;;;;;
9E;Endeavor Air Inc.;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;899;1;131;;;;3.;Frontier Airlines Inc.;210;;;;;;;;;
9E;Endeavor Air Inc.;CWA;Mosinee; WI: Central Wisconsin;100;1;5;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;DAY;Dayton; OH: James M Cox/Dayton International;26;0;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;DCA;Washington; DC: Ronald Reagan Washington National;146;0;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;DEN;Denver; CO: Denver International;4;0;0;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;150;2;7;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;DSM;Des Moines; IA: Des Moines International;284;0;26;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;1294;1;107;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;EVV;Evansville; IN: Evansville Regional;148;1;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;EWN;New Bern/Morehead/Beaufort; NC: Coastal Carolina Regional;50;2;44610;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;EWR;Newark; NJ: Newark Liberty International;106;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;EYW;Key West; FL: Key West International;56;0;44669;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;FNT;Flint; MI: Bishop International;51;0;44701;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;FSM;Fort Smith; AR: Fort Smith Regional;50;0;2;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GNV;Gainesville; FL: Gainesville Regional;60;0;4;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GPT;Gulfport/Biloxi; MS: Gulfport-Biloxi International;99;2;5;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GRB;Green Bay; WI: Green Bay Austin Straubel International;28;2;2;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GRR;Grand Rapids; MI: Gerald R. Ford International;24;0;44567;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GSO;Greensboro/High Point; NC: Piedmont Triad International;23;0;1;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GTR;Columbus; MS: Golden Triangle Regional;78;0;44670;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;HPN;White Plains; NY: Westchester County;73;0;44634;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;HRL;Harlingen/San Benito; TX: Valley International;24;0;3;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;IAD;Washington; DC: Washington Dulles International;106;0;11;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;93;0;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;ILM;Wilmington; NC: Wilmington International;98;0;7;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;IND;Indianapolis; IN: Indianapolis International;163;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;JAX;Jacksonville; FL: Jacksonville International;108;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;JFK;New York; NY: John F. Kennedy International;1431;2;94;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LEX;Lexington; KY: Blue Grass;161;2;20;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;28;0;0;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LGA;New York; NY: LaGuardia;1961;2;142;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LNK;Lincoln; NE: Lincoln Airport;20;0;2;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MBS;Saginaw/Bay City/Midland; MI: MBS International;20;0;1;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MCI;Kansas City; MO: Kansas City International;89;1;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MEM;Memphis; TN: Memphis International;50;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MGM;Montgomery; AL: Montgomery Regional;47;0;3;;;;;;;;;;;;;;;
